,price,price_change,momentum,volatility,volume,direction,cluster
COO,71.97000122070312,0.12261220704924033,0.05574304171668432,0.018686417340078136,1501233.6436170214,1.0,Volatile Bull
ALK,47.310001373291016,0.1304660238529339,-0.17362443016085563,0.025572478278717333,2418145.611702128,1.0,Volatile Bear
JBL,209.1912841796875,2.531803351327818,-0.06686275656227196,0.023776379880775453,1434854.7872340425,1.0,Volatile Bear
HRL,23.72690963745117,-0.42139539530656056,-0.019758204480131897,0.015236274863666764,2695526.861702128,-1.0,Volatile Sideways
DECK,99.81999969482422,0.6892398618355503,-0.12277002467970657,0.026772532013798516,2556874.0691489363,1.0,Volatile Bear
CMA,74.32539367675781,0.3000061117239145,0.07243050377046809,0.02851549047139435,2382155.328457447,1.0,Volatile Bull
ZION,48.89160537719727,0.13533638371812748,-0.15383306138199693,0.03023109401835749,2498303.723404255,1.0,Volatile Bear
CCL,28.17973899841309,2.6861979766865303,-0.07241152552128853,0.030346944787726145,30962591.75531915,1.0,Volatile Bear
RL,326.9322814941406,2.7853054772784067,0.0521713269944586,0.021951249431758434,851445.7446808511,1.0,Volatile Bull
